unit_id,description,unit_total_cost,unit_avg_cost,unit_total_settlements,sup_total_cost,sup_avg_cost,sup_total_settlements,supervisor_id,unit_complaint_percentile
55,Special Investigations Unit,4384404,292293.6,15,39000,19500,2,4131,36.2153708333333333
204,Central Investigations Division,21730000,255647.058823529412,85,271000,90333.333333333333,3,27274,39.6841055555555556
212,Detective Area - South,79856668,192425.706024096386,415,85000,17000,5,12479,53.7781398854961832
6,District 005,412887029,185734.156095366622,2223,235000,33571.428571428571,7,14630,58.3231007374631268
160,Freedom Of Information Section,6887130,153047.333333333333,45,6887130,153047.333333333333,45,27797,90.21365
16,District 015,170682292,121137.183818310859,1409,175000,175000,1,1932,51.7823080188679245
21,District 020,49690684,120025.806763285024,414,1005500,45704.545454545455,22,16617,51.0654009541984733
173,Gang Enforcement - Area Central,123138321,104354.509322033898,1180,2000,2000,1,13273,80.0067753424657534
8,District 007,250142414,104095.885975863504,2403,21000,21000,1,30180,55.1945055
4,District 003,197159245,100540.155532891382,1961,372000,53142.857142857143,7,4620,54.8786545098039216
174,Gang Enforcement - Area South,77234872,91402.215384615385,845,1710000,61071.428571428571,28,23492,83.9310151162790698
26,District 025,95499912,77642.20487804878,1230,449500,40863.636363636364,11,8026,53.2331541029207232
27,Executive Officers Unit,3246220,73777.727272727273,44,70000,35000,2,13303,51.8769136363636364
151,Intelligence Section,26653978,64381.589371980676,414,85000,85000,1,12628,58.6630830508474576
157,Bureau Of Patrol - Area South,1695999,62814.777777777778,27,1695999,62814.777777777778,27,20271,38.8393666666666667
10,District 009,188427015,60861.438953488372,3096,66500,22166.666666666667,3,10170,56.4074954128440367
36,Airport Law Enforcement Section - South,25785645,59141.387614678899,436,10326759,25125.934306569343,411,27415,45.2202879194630872
86,Research And Development Division,70000,35000,2,70000,35000,2,14192,35.6278647058823529
38,Mounted Unit,3370391,34044.353535353535,99,26250,3750,7,16870,43.9511588235294118
169,Court Section,96000,32000,3,96000,32000,3,22077,57.1985428571428571
82,Human Resources Division,628636,25145.44,25,235000,33571.428571428571,7,28348,28.0854109589041096
42,Marine Operations Unit,829647,21832.815789473684,38,49750,12437.5,4,25661,40.2879637362637363
126,General Support Division,18000,18000,1,18000,18000,1,11756,31.7693181818181818
